product_name,price,image_url,web_url,gender,index_column,type,colors
Loose Jeans,$ 49.99,"https://lp2.hm.com/hmgoepprod?set=source[/03/36/033621a23b78d8dfe82bb478573936a467454e80.jpg],origin[dam],category[men_jeans_loose],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1119482011.html,male,1,Pants,"{204,188,162}"
Loose Fit Cargo Pants,$ 49.99,"https://lp2.hm.com/hmgoepprod?set=source[/25/35/25355fe68367d1d448967434915473c65316d303.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1205476002.html,male,2,Pants,"{65,79,94}"
Loose Fit Cargo Pants,$ 49.99,"https://lp2.hm.com/hmgoepprod?set=source[/d9/39/d9399aadf3bb2f735417a7a771e4b4669b3de490.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1205476004.html,male,3,Pants,"{207,192,172}"
Loose Fit Sweatshirt,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/73/0b/730b9b2c43a4f1b3caf59ab4859b483d29d07c0b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1217029001.html,male,4,Outerwear,"{77,71,70}"
Loose Fit Flannel Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/9a/70/9a704f45fd991e1df7dab3620a17695d0d2d84b9.jpg],origin[dam],category[men_shirts_flannel],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207013002.html,male,5,Shirt,"{222,229,240}"
Loose Fit Overshirt with Zipper,$ 49.99,"https://lp2.hm.com/hmgoepprod?set=source[/7e/93/7e931b462c58467d85a70477a700603112bc7c33.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207007001.html,male,6,Shirt,"{222,221,218}"
Oversized Fit Cotton Sweatshirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/89/2e/892ea28563fa57670eaf6a1b51ac5dfebd23fff5.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1035204027.html,male,7,Outerwear,"{30,30,32}"
Regular Fit Denim Overshirt,$ 67.99,"https://lp2.hm.com/hmgoepprod?set=source[/fb/15/fb1529d47441a1a9b4e557d42589f1419471a16e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1210939001.html,male,8,Outerwear,"{62,89,124}"
Oversized Fit Cotton Sweatshirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/ba/2d/ba2d865a7b058587b1f95b487946f7f77f818d18.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1035204028.html,male,9,Top,"{242,243,237}"
Loose Fit Flannel Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/dc/7a/dc7a222304c98a73f3880740be366ad014a4fc66.jpg],origin[dam],category[men_shirts_flannel],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207013001.html,male,11,Top,"{229,227,223}"
Rib-knit Cotton Hat,$ 16.99,"https://lp2.hm.com/hmgoepprod?set=source[/34/ba/34ba5e17c0737b82ef38f2b589f27a83f1284d6d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216390003.html,male,12,Hat,"{65,50,43}"
Oversized Fit Hoodie with Motif,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/ae/b6/aeb60ea5e7c40c5df9c8d75a379b81509728e636.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216901003.html,male,13,Outerwear,"{240,241,235}"
Sneakers,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/b4/34/b434028f81d4b3b1d10ea6eaa4d04cc3cdf9c9a3.jpg],origin[dam],category[men_shoes_sneakers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1174772004.html,male,14,Shoe,"{236,236,234}"
Cotton Cap with Embroidery,$ 12.99,"https://lp2.hm.com/hmgoepprod?set=source[/1a/e3/1ae32917bd2ea7e5ddf174e48e4edb20bcc3c9e0.jpg],origin[dam],category[men_accessories_hatscaps_caps],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1048567030.html,male,15,Hat,"{69,52,45}"
Rib-knit Cotton Hat,$ 16.99,"https://lp2.hm.com/hmgoepprod?set=source[/04/0c/040c4892bd6d89702ea89ee68b37d7473c43d384.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216390005.html,male,16,Hat,"{132,109,126}"
Relaxed Fit Patterned Resort Shirt,$ 26.99,"https://lp2.hm.com/hmgoepprod?set=source[/c2/72/c272aa073ae4aec5de8cbd09ce12a2dd5d55487d.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1136278031.html,male,17,Top,"{40,43,48}"
Regular Fit Textured-knit Resort Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/8d/ec/8decaef7228a3b2e0d724452a014987534e7a657.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207092002.html,male,18,Top,"{222,223,221}"
